// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in D:\Proyectos\Mentoring\Mentoring\bin\Release\netcoreapp3.1\1c3c2a05-3807-4016-82df-d80eb4d1fbde
// command took 1,7s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in D:\Proyectos\Mentoring\Mentoring\bin\Release\netcoreapp3.1\1c3c2a05-3807-4016-82df-d80eb4d1fbde
// command took 2,9s and exited with 0
// ***** Done, took 00:00:04 (4.78 sec)   *****
// Found 2 benchmarks:
//   BenchMarkExecutorDatabase.GetCountryEnumerable: DefaultJob
//   BenchMarkExecutorDatabase.GetCountryQueryable: DefaultJob

// **************************
// Benchmark: BenchMarkExecutorDatabase.GetCountryEnumerable: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "1c3c2a05-3807-4016-82df-d80eb4d1fbde.dll" --benchmarkName "DALMentoring.Database.BenchMarkExecutorDatabase.GetCountryEnumerable" --job "Default" --benchmarkId 0 in D:\Proyectos\Mentoring\Mentoring\bin\Release\netcoreapp3.1\1c3c2a05-3807-4016-82df-d80eb4d1fbde\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.10 (CoreCLR 4.700.20.51601, CoreFX 4.700.20.51901), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 268500.00 ns, 268.5000 us/op
WorkloadJitting  1: 1 op, 1057812400.00 ns, 1.0578 s/op

WorkloadWarmup   1: 1 op, 67100.00 ns, 67.1000 us/op
WorkloadWarmup   2: 1 op, 72200.00 ns, 72.2000 us/op
WorkloadWarmup   3: 1 op, 69400.00 ns, 69.4000 us/op
WorkloadWarmup   4: 1 op, 24700.00 ns, 24.7000 us/op
WorkloadWarmup   5: 1 op, 25000.00 ns, 25.0000 us/op
WorkloadWarmup   6: 1 op, 23000.00 ns, 23.0000 us/op

// BeforeActualRun
WorkloadActual   1: 1 op, 27300.00 ns, 27.3000 us/op
WorkloadActual   2: 1 op, 28500.00 ns, 28.5000 us/op
WorkloadActual   3: 1 op, 49800.00 ns, 49.8000 us/op
WorkloadActual   4: 1 op, 46500.00 ns, 46.5000 us/op
WorkloadActual   5: 1 op, 28400.00 ns, 28.4000 us/op
WorkloadActual   6: 1 op, 23300.00 ns, 23.3000 us/op
WorkloadActual   7: 1 op, 23200.00 ns, 23.2000 us/op
WorkloadActual   8: 1 op, 25200.00 ns, 25.2000 us/op
WorkloadActual   9: 1 op, 57900.00 ns, 57.9000 us/op
WorkloadActual  10: 1 op, 24800.00 ns, 24.8000 us/op
WorkloadActual  11: 1 op, 23100.00 ns, 23.1000 us/op
WorkloadActual  12: 1 op, 23000.00 ns, 23.0000 us/op
WorkloadActual  13: 1 op, 23100.00 ns, 23.1000 us/op
WorkloadActual  14: 1 op, 22900.00 ns, 22.9000 us/op
WorkloadActual  15: 1 op, 23000.00 ns, 23.0000 us/op
WorkloadActual  16: 1 op, 64600.00 ns, 64.6000 us/op
